2018-12-14 22:09:08,627 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-12-14 22:11:13,924 [Worker-14: Creating project "teamshare"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: it.linksmt.teamshare:teamshare:0.0.1-SNAPSHOT @ C:\Users\SANSOD\Desktop\TeamShare-Defined\teamshare\pom.xml.
2018-12-14 22:13:16,500 [Worker-5: Creating project "teamshare-dao"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: it.linksmt.teamshare:teamshare-dao:0.0.1-SNAPSHOT @ C:\Users\SANSOD\Desktop\TeamShare-Defined\teamshare\teamshare-dao\pom.xml.
2018-12-14 22:13:17,404 [Worker-5: Creating project "teamshare-dao"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /teamshare-dao/src/main/java
2018-12-14 22:13:17,408 [Worker-5: Creating project "teamshare-dao"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /teamshare-dao/src/main/resources
2018-12-14 22:13:17,410 [Worker-5: Creating project "teamshare-dao"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /teamshare-dao/src/test/java
2018-12-14 22:13:17,410 [Worker-5: Creating project "teamshare-dao"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /teamshare-dao/src/test/resources
2018-12-14 22:13:51,932 [Worker-5: Creating project "teamshare-dao"] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:13:51,955 [Worker-5: Creating project "teamshare-dao"] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:13:51,959 [Worker-5: Creating project "teamshare-dao"] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:13:51,971 [Worker-5: Creating project "teamshare-dao"] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:13:53,115 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:13:53,148 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:13:53,151 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:13:53,176 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:13:54,344 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:13:54,405 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-14 22:13:54,409 [Worker-24: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-14 22:13:54,437 [Worker-24: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
